ID,Performance Review,City,Last Promotion Date,Salary,Overdue Vacation?
1,10,Alabama,,4539,No
2,10, Arizona,,3698,Yes
3,8,Colorado,,4157,Yes
4,10,Missouri,,4360,Yes
5,7,New York,,4144,Yes
6,5,Ohio,,4257,No
7,8,Oregon,,4534,No
8,9, Arizona,8/12/2017,4094,Yes
9,9, Montana,,4289,Yes
10,9,Missouri,,3834,Yes
11,5,New York,,3917,Yes
12,9,Ohio,,3625,No
13,6,Oregon,,4157,No
14,5,Missouri,,4307,No
15,8,New York,8/12/2017,4008,No
16,6,Ohio,,4529,No
17,5,New York,,3625,No
18,6,Washington,,4047,No
19,7,New York,,4493,Yes
20,9,Ohio,,4257,No
21,7, Montana,,4534,No
22,7,Washington,,4047,No
23,10,Missouri,,4493,No
24,9, Montana,,4257,No
25,7,Ohio,11/9/2015,4529,No
26,5,Missouri,,4047,Yes
27,6,Alabama,,3754,No
28,10,Colorado,,4529,No
29,10,Washington,,3625,No
30,5, Montana,,3754,Yes
31,7,Texas,,4211,No
32,8,Texas,,4211,No
33,10,Washington,,3625,Yes
34,9, Montana,,3754,No
35,9,Oregon,,4064,No
36,7,Alabama,,4576,No
37,5, Arizona,,3909,No
38,8,Colorado,,4233,No
39,9, Montana,,3958,No
40,9,Washington,,4383,No
41,10,Washington,8/12/2017,4493,No
42,9,Texas,,4006,No
43,8,Texas,,3754,No
44,10,Texas,,4325,No
45,9,Colorado,,4133,No
46,7, Montana,1/22/2020,4034,No
47,5,Missouri,,4299,No
48,7,New York,,3944,No
49,5,Ohio,,3617,No
50,10,Oregon,,3917,No
51,6,Missouri,3/5/2018,3985,No
52,10,New York,,3750,No
53,7,Ohio,11/9/2015,3609,No
54,7,Oregon,,4079,No
55,7,Alabama,,3793,No
56,5, Arizona,,4355,No
57,8,Colorado,,4324,No
58,5, Montana,1/22/2020,4152,No
59,8,Washington,,3689,No
60,8,Washington,,4028,No
61,8,Washington,,3859,No
62,7,Texas,,4492,Yes
63,6,Texas,3/5/2018,4047,No
64,10,Texas,,4263,No
65,5,Texas,11/9/2015,4150,No
66,5,Rhode Island,,4208,No
67,9,Rhode Island,,4275,No
68,9,Rhode Island,,3922,No
69,9,Oregon,,4003,No
70,7,Oregon,,3901,No
71,5,Oregon,,3952,No
72,10,Mississippi,,4161,No
73,7,Mississippi,,3643,No
74,6,Mississippi,,4252,No
75,7,Mississippi,,4063,No
76,6,Mississippi,,4434,No
77,8, Maryland,,4403,No
78,8, Maryland,,4425,No
79,10, Maryland,,4005,No
80,7, Maryland,,3769,No
81,9,Hawaii,,4500,No
82,5,Hawaii,,3906,No
83,7,Hawaii,,4211,Yes
84,8,Hawaii,,3904,No
85,9,Hawaii,,4543,No
86,10,Alabama,,4430,No
87,9, Arizona,,4183,No
88,10,Colorado,,4308,No
89,7, Maryland,,3920,No
90,7,Hawaii,,4001,Yes
